

 196: 70.411415, 82.445076 avg loss, 0.000001 rate, 2.505707 seconds, 12544 images, 31.328058 hours left

 197: 67.645897, 80.965157 avg loss, 0.000002 rate, 2.580672 seconds, 12608 images, 31.180595 hours left

 198: 69.615280, 79.830170 avg loss, 0.000002 rate, 3.063493 seconds, 12672 images, 31.039513 hours left

 199: 73.042435, 79.151398 avg loss, 0.000002 rate, 2.358666 seconds, 12736 images, 30.931749 hours left

 200: 55.471859, 76.783447 avg loss, 0.000002 rate, 2.211218 seconds, 12800 images, 30.778527 hours left

 201: 79.605476, 77.065651 avg loss, 0.000002 rate, 4.502099 seconds, 12864 images, 30.617056 hours left

 202: 81.622620, 77.521347 avg loss, 0.000002 rate, 4.142003 seconds, 12928 images, 30.608786 hours left

 203: 81.101868, 77.879402 avg loss, 0.000002 rate, 4.405965 seconds, 12992 images, 30.576640 hours left

 204: 83.905777, 78.482040 avg loss, 0.000002 rate, 4.364710 seconds, 13056 images, 30.562563 hours left

 205: 84.407234, 79.074562 avg loss, 0.000002 rate, 4.443186 seconds, 13120 images, 30.545744 hours left

 206: 87.491714, 79.916275 avg loss, 0.000002 rate, 5.196563 seconds, 13184 images, 30.534065 hours left

 207: 100.964325, 82.021080 avg loss, 0.000002 rate, 5.377742 seconds, 13248 images, 30.572537 hours left

 208: 94.142067, 83.233177 avg loss, 0.000002 rate, 4.691178 seconds, 13312 images, 30.622399 hours left

 209: 83.692978, 83.279160 avg loss, 0.000002 rate, 4.239671 seconds, 13376 images, 30.626457 hours left

 210: 76.196968, 82.570938 avg loss, 0.000002 rate, 5.059331 seconds, 13440 images, 30.600504 hours left

 211: 63.525272, 80.666374 avg loss, 0.000002 rate, 3.307808 seconds, 13504 images, 30.629038 hours left

 212: 68.515633, 79.451302 avg loss, 0.000002 rate, 2.846697 seconds, 13568 images, 30.619274 hours left

 213: 59.192356, 77.425407 avg loss, 0.000002 rate, 2.735620 seconds, 13632 images, 30.501317 hours left

 214: 56.872379, 75.370102 avg loss, 0.000002 rate, 2.757970 seconds, 13696 images, 30.377145 hours left

 215: 58.445824, 73.677673 avg loss, 0.000002 rate, 2.783335 seconds, 13760 images, 30.255695 hours left

 216: 55.609306, 71.870834 avg loss, 0.000002 rate, 3.010175 seconds, 13824 images, 30.137170 hours left

 217: 58.779602, 70.561714 avg loss, 0.000002 rate, 3.740943 seconds, 13888 images, 30.034765 hours left

 218: 71.199600, 70.625504 avg loss, 0.000002 rate, 3.823000 seconds, 13952 images, 29.981694 hours left

 219: 50.429306, 68.605881 avg loss, 0.000002 rate, 3.224818 seconds, 14016 images, 29.950600 hours left

 220: 64.953827, 68.240677 avg loss, 0.000002 rate, 3.102710 seconds, 14080 images, 29.864232 hours left

 221: 64.005058, 67.817116 avg loss, 0.000002 rate, 4.286313 seconds, 14144 images, 29.770707 hours left

 222: 69.026848, 67.938087 avg loss, 0.000002 rate, 5.049967 seconds, 14208 images, 29.756215 hours left

 223: 86.590401, 69.803322 avg loss, 0.000002 rate, 5.040459 seconds, 14272 images, 29.792294 hours left

 224: 79.127792, 70.735771 avg loss, 0.000003 rate, 4.588061 seconds, 14336 images, 29.827373 hours left

 225: 65.914558, 70.253647 avg loss, 0.000003 rate, 3.843800 seconds, 14400 images, 29.832992 hours left

